label,url_length,num_dots,has_https
1,89,3,0
1,25,1,0
1,30,1,0
1,39,2,1
1,37,2,1
1,31,1,0
1,36,2,1
1,36,2,1
1,52,3,1
1,37,2,1
1,36,2,1
1,62,3,1
1,52,3,1
1,50,1,0
1,125,3,1
1,56,2,1
1,34,2,1
1,47,2,0
1,47,1,1
1,48,2,1
1,41,1,1
1,44,4,1
1,36,2,1
1,94,3,1
1,26,2,1
1,66,3,1
1,62,2,1
1,59,3,1
1,57,3,0
1,81,2,0
1,28,1,1
1,39,3,0
1,94,3,1
1,94,3,1
1,97,3,1
1,92,2,1
1,82,2,1
1,55,2,1
1,63,3,1
1,47,2,1
1,34,2,1
1,45,2,1
1,44,2,1
1,48,2,0
1,58,2,1
1,60,2,1
1,126,2,1
1,19,1,0
1,41,3,1
1,28,2,0
1,102,2,1
1,103,2,1
1,81,2,1
1,92,2,0
1,92,2,0
1,116,4,0
1,96,2,0
1,93,2,0
1,86,2,0
1,86,2,0
1,49,2,1
1,55,3,1
1,66,3,1
1,112,4,1
1,65,3,1
1,46,3,1
1,115,4,1
1,62,3,1
1,54,1,1
1,31,3,0
1,48,2,1
1,71,2,1
1,61,2,1
1,31,1,1
1,75,4,1
1,42,3,1
1,49,3,1
1,51,3,1
1,133,4,1
1,72,3,0
1,28,2,1
1,28,2,1
1,47,3,0
1,57,4,0
1,68,2,0
1,26,1,1
1,82,2,0
1,46,1,1
1,47,2,0
1,40,2,0
1,42,2,0
1,42,2,0
1,77,2,1
1,495,3,0
1,68,1,1
1,53,3,1
1,47,3,1
1,45,3,1
1,47,3,0
1,103,3,0
1,90,3,1
1,94,3,1
1,35,2,0
1,32,2,0
1,50,3,1
1,45,2,1
1,40,2,1
1,76,2,1
1,94,3,1
1,56,5,0
1,56,4,0
1,71,5,0
1,40,2,1
1,53,3,1
1,52,4,0
1,68,2,1
1,74,5,1
1,73,5,0
1,75,5,1
1,39,2,1
1,68,3,1
1,92,3,0
1,17,1,0
1,94,3,1
1,94,3,1
1,92,3,0
1,25,2,1
1,25,2,1
1,33,2,1
1,50,3,0
1,28,2,0
1,25,2,1
1,25,2,1
1,26,2,1
1,33,2,0
1,26,2,1
1,29,2,0
1,28,2,1
1,29,2,0
1,24,2,0
1,26,2,0
1,30,2,0
1,26,3,1
1,26,2,1
1,23,2,0
